hour,area,cont,contour,hour_text
00,525,Port Botany,30,00:00
00,167,Port Botany,20,00:00
00,19,Port Botany,10,00:00
01,492,Port Botany,30,01:00
01,160,Port Botany,20,01:00
01,20,Port Botany,10,01:00
02,491,Port Botany,30,02:00
02,168,Port Botany,20,02:00
02,27,Port Botany,10,02:00
03,521,Port Botany,30,03:00
03,176,Port Botany,20,03:00
03,28,Port Botany,10,03:00
04,543,Port Botany,30,04:00
04,169,Port Botany,20,04:00
04,25,Port Botany,10,04:00
05,441,Port Botany,30,05:00
05,141,Port Botany,20,05:00
05,27,Port Botany,10,05:00
06,428,Port Botany,30,06:00
06,134,Port Botany,20,06:00
06,20,Port Botany,10,06:00
07,421,Port Botany,30,07:00
07,125,Port Botany,20,07:00
07,18,Port Botany,10,07:00
08,393,Port Botany,30,08:00
08,121,Port Botany,20,08:00
08,17,Port Botany,10,08:00
09,385,Port Botany,30,09:00
09,127,Port Botany,20,09:00
09,18,Port Botany,10,09:00
10,397,Port Botany,30,10:00
10,114,Port Botany,20,10:00
10,19,Port Botany,10,10:00
11,384,Port Botany,30,11:00
11,115,Port Botany,20,11:00
11,19,Port Botany,10,11:00
12,407,Port Botany,30,12:00
12,126,Port Botany,20,12:00
12,17,Port Botany,10,12:00
13,406,Port Botany,30,13:00
13,128,Port Botany,20,13:00
13,18,Port Botany,10,13:00
14,341,Port Botany,30,14:00
14,107,Port Botany,20,14:00
14,17,Port Botany,10,14:00
15,313,Port Botany,30,15:00
15,97,Port Botany,20,15:00
15,16,Port Botany,10,15:00
16,319,Port Botany,30,16:00
16,102,Port Botany,20,16:00
16,17,Port Botany,10,16:00
17,279,Port Botany,30,17:00
17,90,Port Botany,20,17:00
17,17,Port Botany,10,17:00
18,371,Port Botany,30,18:00
18,111,Port Botany,20,18:00
18,19,Port Botany,10,18:00
19,470,Port Botany,30,19:00
19,141,Port Botany,20,19:00
19,24,Port Botany,10,19:00
20,470,Port Botany,30,20:00
20,150,Port Botany,20,20:00
20,18,Port Botany,10,20:00
21,505,Port Botany,30,21:00
21,159,Port Botany,20,21:00
21,20,Port Botany,10,21:00
22,506,Port Botany,30,22:00
22,164,Port Botany,20,22:00
22,20,Port Botany,10,22:00
23,513,Port Botany,30,23:00
23,169,Port Botany,20,23:00
23,26,Port Botany,10,23:00
00,1136,Chullora,30,00:00
00,443,Chullora,20,00:00
00,71,Chullora,10,00:00
01,1102,Chullora,30,01:00
01,432,Chullora,20,01:00
01,67,Chullora,10,01:00
02,938,Chullora,30,02:00
02,364,Chullora,20,02:00
02,59,Chullora,10,02:00
03,850,Chullora,30,03:00
03,332,Chullora,20,03:00
03,54,Chullora,10,03:00
04,1023,Chullora,30,04:00
04,382,Chullora,20,04:00
04,58,Chullora,10,04:00
05,1171,Chullora,30,05:00
05,446,Chullora,20,05:00
05,73,Chullora,10,05:00
06,1074,Chullora,30,06:00
06,424,Chullora,20,06:00
06,78,Chullora,10,06:00
07,1014,Chullora,30,07:00
07,401,Chullora,20,07:00
07,78,Chullora,10,07:00
08,911,Chullora,30,08:00
08,347,Chullora,20,08:00
08,68,Chullora,10,08:00
09,964,Chullora,30,09:00
09,342,Chullora,20,09:00
09,65,Chullora,10,09:00
10,1018,Chullora,30,10:00
10,388,Chullora,20,10:00
10,70,Chullora,10,10:00
11,1056,Chullora,30,11:00
11,399,Chullora,20,11:00
11,71,Chullora,10,11:00
12,1051,Chullora,30,12:00
12,393,Chullora,20,12:00
12,72,Chullora,10,12:00
13,1040,Chullora,30,13:00
13,383,Chullora,20,13:00
13,70,Chullora,10,13:00
14,990,Chullora,30,14:00
14,373,Chullora,20,14:00
14,68,Chullora,10,14:00
15,818,Chullora,30,15:00
15,325,Chullora,20,15:00
15,66,Chullora,10,15:00
16,740,Chullora,30,16:00
16,307,Chullora,20,16:00
16,64,Chullora,10,16:00
17,682,Chullora,30,17:00
17,279,Chullora,20,17:00
17,61,Chullora,10,17:00
18,803,Chullora,30,18:00
18,324,Chullora,20,18:00
18,65,Chullora,10,18:00
19,1038,Chullora,30,19:00
